Id,Ident,Type,Name,Latitude_deg,Longitude_deg,Elevation_ft,Continent,Country_name,Iso_country,Region_name,Iso_region,Local_region,Municipality,Scheduled_service,Gps_code,Iata_code,Local_code,Home_link,Wikipedia_link,Keywords,Score,Last_updated
28180,CJY6,seaplane_base,"Bissett Seaplane Base",51.016701,-95.683296,824,NA,Canada,CA,Manitoba,CA-MB,MB,,0,CJY6,,CJY6,,https://en.wikipedia.org/wiki/Bissett_Water_Aerodrome,JY6,25,2020-02-26T14:38:12+00:00
28182,CAG6,seaplane_base,"Blind Channel Seaplane Base",50.416698,-125.5,0,NA,Canada,CA,"British Columbia",CA-BC,BC,,0,CAG6,,CAG6,,https://en.wikipedia.org/wiki/Blind_Channel_Water_Aerodrome,AG6,25,2017-06-11T17:46:45+00:00
28184,CJC7,seaplane_base,"Burditt Lake Seaplane Base",48.91939926147461,-93.80220031738281,1150,NA,Canada,CA,Ontario,CA-ON,ON,,0,CJC7,,CJC7,,,,25,2008-06-13T14:30:04+00:00
28188,CAK6,seaplane_base,"Camp Cordero Seaplane Base",50.446694,-125.453785,0,NA,Canada,CA,"British Columbia",CA-BC,BC,,0,CAK6,,CAK6,,https://en.wikipedia.org/wiki/Camp_Cordero_Water_Aerodrome,AK6,25,2016-10-09T14:04:11+00:00
28189,CEB7,seaplane_base,"Carcross Seaplane Base",60.183300018311,-134.69999694824,2152,NA,Canada,CA,Yukon,CA-YT,YT,,0,CEB7,,CEB7,,,EB7,25,2015-11-01T05:39:04+00:00
28191,CNL5,seaplane_base,"Chapleau Seaplane Base",47.849998474121094,-83.4000015258789,1443,NA,Canada,CA,Ontario,CA-ON,ON,,0,CNL5,,CNL5,,,,25,2008-06-13T14:30:04+00:00
28193,CHL3,seaplane_base,"Church Lake Seaplane Base",44.55939865112305,-64.61219787597656,280,NA,Canada,CA,"Nova Scotia",CA-NS,NS,,0,CHL3,,CHL3,,,,25,2008-06-13T14:30:04+00:00
28195,CST6,seaplane_base,"Clova/Lac Duchamp Seaplane Base",48.11000061035156,-75.36579895019531,1375,NA,Canada,CA,Quebec,CA-QC,QC,,0,CST6,,CST6,,,,25,2008-06-13T14:30:04+00:00
28197,CNN5,seaplane_base,"Cochrane Seaplane Base",49.10969924926758,-81.0333023071289,807,NA,Canada,CA,Ontario,CA-ON,ON,,0,CNN5,,CNN5,,,,25,2008-06-13T14:30:04+00:00
28201,CJL7,seaplane_base,"Confederation Lake Seaplane Base",51.04999923706055,-92.83329772949219,1323,NA,Canada,CA,Ontario,CA-ON,ON,,0,CJL7,,CJL7,,,,25,2008-06-13T14:30:04+00:00
28202,CCR8,seaplane_base,"Conne River Seaplane Base",47.92499923706055,-55.57780075073242,350,NA,Canada,CA,"Newfoundland and Labrador",CA-NL,NL,,0,CCR8,,CCR8,,,,25,2008-06-13T14:30:04+00:00
28205,CJT7,seaplane_base,"Cushing Lake Seaplane Base",48.94419860839844,-90.50859832763672,1500,NA,Canada,CA,Ontario,CA-ON,ON,,0,CJT7,,CJT7,,,,25,2008-06-13T14:30:04+00:00
28206,CEG7,seaplane_base,"Dawson City Seaplane Base",64.06670379638672,-139.43299865722656,,NA,Canada,CA,Yukon,CA-YT,YT,,0,CEG7,,CEG7,,,,25,2008-07-14T08:45:08+00:00
28208,CJA8,seaplane_base,"Deer Lake Seaplane Base",52.61669921875,-94.05000305175781,1017,NA,Canada,CA,Ontario,CA-ON,ON,,0,CJA8,,CJA8,,,,25,2008-06-13T14:30:04+00:00
28209,CJZ7,seaplane_base,"Deer Lake/Keyamawun Seaplane Base",52.66669845581055,-94.41670227050781,1017,NA,Canada,CA,Ontario,CA-ON,ON,,0,CJZ7,,CJZ7,,,,25,2008-06-13T14:30:04+00:00
28211,CNK5,seaplane_base,"Dorset/Kawagama Lake (Old Mill Marina) Seaplane Base",45.266700744628906,-78.80829620361328,1165,NA,Canada,CA,Ontario,CA-ON,ON,,0,CNK5,,CNK5,,,,25,2008-06-13T14:30:04+00:00
28214,CJE8,seaplane_base,"Ear Falls Seaplane Base",50.58330154418945,-93.16670227050781,1171,NA,Canada,CA,Ontario,CA-ON,ON,,0,CJE8,,CJE8,,,,25,2008-06-13T14:30:04+00:00
28216,CNV5,seaplane_base,"Elk Lake Seaplane Base",47.727907674799994,-80.3215491772,925,NA,Canada,CA,Ontario,CA-ON,ON,,0,CNV5,,CNV5,,,nv5,25,2010-12-31T10:03:54+00:00
28217,CFC9,seaplane_base,"Faro/Johnson Lake Seaplane Base",62.20330047607422,-133.39300537109375,,NA,Canada,CA,Yukon,CA-YT,YT,,0,CFC9,,CFC9,,,,25,2008-07-14T08:45:08+00:00
