Id,Ident,Type,Name,Latitude_deg,Longitude_deg,Gps_code,Iata_code,Local_code
3714,KMUI,medium_airport,Muir Army Air Field (Fort Indiantown Gap) Airport,40.434799,-76.569397,KMUI,MUI,MUI
3715,KMUO,medium_airport,Mountain Home Air Force Base,43.043598,-115.872002,KMUO,MUO,MUO
3716,KMXF,medium_airport,Maxwell Air Force Base,32.3829,-86.365799,KMXF,MXF,MXF
3717,KMYR,medium_airport,Myrtle Beach International Airport,33.6796989441,-78.9282989502,KMYR,MYR,MYR
3718,KMYV,medium_airport,Yuba County Airport,39.09780121,-121.5699997,KMYV,MYV,MYV
3720,KNBG,medium_airport,New Orleans NAS JRB/Alvin Callender Field,29.82530022,-90.03500366,KNBG,NBG,NBG
3722,KNEL,medium_airport,Lakehurst Maxfield Field Airport,40.03329849,-74.353302,KNEL,NEL,NEL
3723,KNEW,medium_airport,Lakefront Airport,30.042400360107,-90.028297424316,KNEW,NEW,NEW
3725,KNFL,medium_airport,Fallon Naval Air Station,39.41659927,-118.7009964,KNFL,NFL,NFL
3727,KNGU,medium_airport,Norfolk Naval Station (Chambers Field),36.937599,-76.289299,KNGU,NGU,NGU
3728,KNHK,medium_airport,Patuxent River Naval Air Station (Trapnell Field),38.285999,-76.411797,KNHK,NHK,NHK
3729,KNHZ,medium_airport,Brunswick Executive Airport,43.89220047,-69.93859863,KBXM,NHZ,BXM
3730,KNIP,medium_airport,Jacksonville Naval Air Station (Towers Field),30.2358,-81.680603,KNIP,NIP,NIP
3731,KNJK,medium_airport,El Centro NAF Airport (Vraciu Field),32.829201,-115.671996,KNJK,NJK,NJK
3733,KNKX,medium_airport,Miramar Marine Corps Air Station - Mitscher Field,32.86840057,-117.1429977,KNKX,NKX,NKX
3735,KNPA,medium_airport,Naval Air Station Pensacola Forrest Sherman Field,30.352699,-87.318604,KNPA,NPA,NPA
3736,KNQA,medium_airport,Millington-Memphis Airport,35.356701,-89.8703,KNQA,NQA,NQA
3737,KNQI,medium_airport,Kingsville Naval Air Station,27.5072002411,-97.8097000122,KNQI,NQI,NQI
3738,KNQX,medium_airport,Naval Air Station Key West/Boca Chica Field,24.57579994,-81.68890381,KNQX,NQX,NQX
3739,KNTD,medium_airport,Point Mugu Naval Air Station (Naval Base Ventura Co),34.120300293,-119.121002197,KNTD,NTD,NTD
3740,KNTU,medium_airport,Oceana Naval Air Station,36.820702,-76.033501,KNTU,NTU,NTU
3741,KNUQ,medium_airport,Moffett Federal Airfield,37.4161,-122.049004,KNUQ,NUQ,NUQ
3743,KNZY,medium_airport,North Island Naval Air Station-Halsey Field,32.69919968,-117.2149963,KNZY,NZY,NZY
3744,KOAK,large_airport,Metropolitan Oakland International Airport,37.721298,-122.221001,KOAK,OAK,OAK
3745,KOFF,medium_airport,Offutt Air Force Base,41.118301391602,-95.912498474121,KOFF,OFF,OFF
3746,KOGD,medium_airport,Ogden Hinckley Airport,41.195899963379,-112.0120010376,KOGD,OGD,OGD
3747,KOKC,medium_airport,Will Rogers World Airport,35.393101,-97.6007,KOKC,OKC,OKC
3748,KOLD,small_airport,Dewitt Field - Old Town Municipal Airport,44.952801,-68.674301,KOLD,OLD,OLD
3749,KOLM,medium_airport,Olympia Regional Airport,46.9693985,-122.9029999,KOLM,OLM,OLM
3751,KOMA,medium_airport,Eppley Airfield,41.3032,-95.894096,KOMA,OMA,OMA
3752,KONT,large_airport,Ontario International Airport,34.055999755859375,-117.60099792480469,KONT,ONT,ONT
3753,KOQU,medium_airport,Quonset State Airport,41.597099304199,-71.412101745605,KOQU,NCO,OQU
3754,KORD,large_airport,Chicago O'Hare International Airport,41.9786,-87.9048,KORD,ORD,ORD
3755,KORF,medium_airport,Norfolk International Airport,36.8946,-76.201202,KORF,ORF,ORF
3756,KORH,medium_airport,Worcester Regional Airport,42.2673,-71.875702,KORH,ORH,ORH
3757,KOSH,medium_airport,Wittman Regional Airport,43.98440170288086,-88.55699920654297,KOSH,OSH,OSH
3758,KOSU,medium_airport,The Ohio State University Airport - Don Scott Field,40.0798,-83.072998,KOSU,OSU,OSU
3759,KOTH,medium_airport,Southwest Oregon Regional Airport,43.41709899902344,-124.24600219726562,KOTH,OTH,OTH
3760,KOTM,medium_airport,Ottumwa Regional Airport,41.106368,-92.449837,KOTM,OTM,OTM
3761,KOWB,medium_airport,Owensboro Daviess County Airport,37.74010086,-87.16680145,KOWB,OWB,OWB
3762,KOZR,medium_airport,Cairns AAF (Fort Rucker) Air Field,31.27569962,-85.71340179,KOZR,OZR,OZR
3763,KPAE,medium_airport,Snohomish County (Paine Field) Airport,47.9063,-122.281998,KPAE,PAE,PAE
3764,KPAH,medium_airport,Barkley Regional Airport,37.06079864501953,-88.7738037109375,KPAH,PAH,PAH
3765,KPAM,medium_airport,Tyndall Air Force Base,30.069599,-85.575401,KPAM,PAM,PAM
3766,KPBI,large_airport,Palm Beach International Airport,26.68320083618164,-80.09559631347656,KPBI,PBI,PBI
3767,KPDK,medium_airport,DeKalb Peachtree Airport,33.8755989075,-84.3020019531,KPDK,PDK,PDK
3768,KPDX,large_airport,Portland International Airport,45.58869934,-122.5979996,KPDX,PDX,PDX
3770,KPHF,medium_airport,Newport News Williamsburg International Airport,37.131901,-76.492996,KPHF,PHF,PHF
3771,KPHL,large_airport,Philadelphia International Airport,39.87189865112305,-75.24109649658203,KPHL,PHL,PHL
3772,KPHX,large_airport,Phoenix Sky Harbor International Airport,33.435302,-112.005905,KPHX,PHX,PHX
3773,KPIA,medium_airport,General Wayne A. Downing Peoria International Airport,40.6642,-89.693298,KPIA,PIA,PIA
3774,KPIB,medium_airport,Hattiesburg Laurel Regional Airport,31.4671,-89.337097,KPIB,PIB,PIB
3775,KPIE,medium_airport,St Petersburg Clearwater International Airport,27.91020012,-82.68740082,KPIE,PIE,PIE
3776,KPIH,medium_airport,Pocatello Regional Airport,42.9098014831543,-112.59600067138672,KPIH,PIH,PIH
3777,KPIR,medium_airport,Pierre Regional Airport,44.38270187,-100.2860031,KPIR,PIR,PIR
3778,KPIT,large_airport,Pittsburgh International Airport,40.49150085,-80.23290253,KPIT,PIT,PIT
3779,KPKB,medium_airport,Mid Ohio Valley Regional Airport,39.34510040283203,-81.43920135498047,KPKB,PKB,PKB
3781,KPLN,medium_airport,Pellston Regional Airport of Emmet County Airport,45.57089996,-84.79669952,KPLN,PLN,PLN
3782,KPMD,medium_airport,Palmdale Regional Airport / USAF Plant 42 Airport,34.629398,-118.084999,KPMD,PMD,PMD
3783,KPNS,medium_airport,Pensacola International Airport,30.4734,-87.1866,KPNS,PNS,PNS
3784,KPOB,medium_airport,Pope Field,35.1708984375,-79.014503479004,KPOB,POB,POB
3785,KPOE,medium_airport,Polk Army Air Field,31.0447998,-93.1917038,KPOE,POE,POE
3786,KPOU,medium_airport,Dutchess County Airport,41.6265983581543,-73.88420104980469,KPOU,POU,POU
3787,KPQI,medium_airport,Presque Isle International Airport,46.688999,-68.0448,KPQI,PQI,PQI
3788,KPRB,medium_airport,Paso Robles Municipal Airport,35.67290115,-120.6269989,KPRB,PRB,PRB
3789,KPRC,medium_airport,Prescott International Airport - Ernest A. Love Field,34.654499,-112.419998,KPRC,PRC,PRC
3790,KPRX,medium_airport,Cox Field,33.636600494385,-95.450798034668,KPRX,PRX,PRX
3791,KPSM,medium_airport,Portsmouth International at Pease Airport,43.0778999329,-70.8233032227,KPSM,PSM,PSM
3792,KPSP,medium_airport,Palm Springs International Airport,33.8297,-116.507004,KPSP,PSP,PSP
3793,KPTK,medium_airport,Oakland County International Airport,42.665500640869,-83.420097351074,KPTK,PTK,PTK
3794,KPUB,medium_airport,Pueblo Memorial Airport,38.289101,-104.497002,KPUB,PUB,PUB
3795,KPVD,large_airport,Theodore Francis Green State Airport,41.725038,-71.425668,KPVD,PVD,PVD
3796,KPWM,large_airport,Portland International Jetport,43.646198,-70.309303,KPWM,PWM,PWM
3797,KPWT,medium_airport,Bremerton National Airport,47.490200042725,-122.76499938965,KPWT,PWT,PWT
3837,KRAL,medium_airport,Riverside Municipal Airport,33.9519,-117.445,KRAL,RAL,RAL
3838,KRAP,medium_airport,Rapid City Regional Airport,44.0452995300293,-103.05699920654297,KRAP,RAP,RAP
3839,KRBL,medium_airport,Red Bluff Municipal Airport,40.1506996155,-122.251998901,KRBL,RBL,RBL
3840,KRCA,medium_airport,Ellsworth Air Force Base,44.14500046,-103.1039963,KRCA,RCA,RCA
3841,KRDD,medium_airport,Redding Municipal Airport,40.50899887,-122.2929993,KRDD,RDD,RDD
3842,KRDG,medium_airport,Reading Regional Airport (Carl A Spaatz Field),40.378502,-75.965202,KRDG,RDG,RDG
3843,KRDM,medium_airport,Roberts Field,44.2541008,-121.1500015,KRDM,RDM,RDM
3844,KRDU,large_airport,Raleigh Durham International Airport,35.877601623535156,-78.7874984741211,KRDU,RDU,RDU
3845,KRFD,medium_airport,Chicago Rockford International Airport,42.1954,-89.097198,KRFD,RFD,RFD
3846,KRHI,medium_airport,Rhinelander Oneida County Airport,45.63119888305664,-89.46749877929688,KRHI,RHI,RHI
3847,KRIC,large_airport,Richmond International Airport,37.50519943237305,-77.3197021484375,KRIC,RIC,RIC
3849,KRIV,medium_airport,March Air Reserve Base,33.880699,-117.259003,KRIV,RIV,RIV
3850,KRKS,medium_airport,Southwest Wyoming Regional Airport,41.5942,-109.065001,KRKS,RKS,RKS
3851,KRMG,medium_airport,Richard B Russell Airport,34.3506011963,-85.15799713130001,KRMG,RMG,RMG
3852,KRND,medium_airport,Randolph Air Force Base,29.529699,-98.2789,KRND,RND,RND
3853,KRNO,large_airport,Reno Tahoe International Airport,39.49909973144531,-119.76799774169922,KRNO,RNO,RNO
3854,KROA,medium_airport,Roanoke–Blacksburg Regional Airport,37.3255,-79.975403,KROA,ROA,ROA
3855,KROC,medium_airport,Greater Rochester International Airport,43.1189,-77.672401,KROC,ROC,ROC
3856,KROW,medium_airport,Roswell Air Center Airport,33.301601,-104.530998,KROW,ROW,ROW
3857,KRST,medium_airport,Rochester International Airport,43.908298,-92.5,KRST,RST,RST
3858,KRSW,large_airport,Southwest Florida International Airport,26.53619956970215,-81.75520324707031,KRSW,RSW,RSW
3859,KRUT,medium_airport,Rutland - Southern Vermont Regional Airport,43.5294,-72.9496,KRUT,RUT,RUT
3860,KRWI,medium_airport,Rocky Mount Wilson Regional Airport,35.856300354003906,-77.89189910888672,KRWI,RWI,RWI
3861,KSAC,medium_airport,Sacramento Executive Airport,38.5125007629,-121.492996216,KSAC,SAC,SAC
3862,KSAN,large_airport,San Diego International Airport,32.7336006165,-117.190002441,KSAN,SAN,SAN
3863,KSAT,large_airport,San Antonio International Airport,29.533701,-98.469803,KSAT,SAT,SAT
3864,KSAV,large_airport,Savannah Hilton Head International Airport,32.12760162,-81.20210266,KSAV,SAV,SAV
3865,KSAW,medium_airport,Sawyer International Airport,46.3536,-87.395401,KSAW,MQT,SAW
3866,KSBA,medium_airport,Santa Barbara Municipal Airport,34.42620087,-119.8399963,KSBA,SBA,SBA
3867,KSBD,medium_airport,San Bernardino International Airport,34.095402,-117.235001,KSBD,SBD,SBD
3868,KSBN,medium_airport,South Bend Regional Airport,41.708698,-86.317299,KSBN,SBN,SBN
3869,KSBP,medium_airport,San Luis County Regional Airport,35.236801147499996,-120.641998291,KSBP,SBP,SBP
3870,KSBY,medium_airport,Salisbury Ocean City Wicomico Regional Airport,38.34049987792969,-75.51029968261719,KSBY,SBY,SBY
3871,KSCH,medium_airport,Schenectady County Airport,42.852500915527,-73.928901672363,KSCH,SCH,SCH
3872,KSCK,medium_airport,Stockton Metropolitan Airport,37.894199371338,-121.2379989624,KSCK,SCK,SCK
3873,KSDF,large_airport,Louisville Muhammad Ali International Airport,38.1744,-85.736,KSDF,SDF,SDF
3874,KSDM,medium_airport,Brown Field Municipal Airport,32.572299957275,-116.98000335693,KSDM,SDM,SDM
3875,KSEA,large_airport,Seattle Tacoma International Airport,47.449001,-122.308998,KSEA,SEA,SEA
3876,KSFB,large_airport,Orlando Sanford International Airport,28.777599334716797,-81.23750305175781,KSFB,SFB,SFB
3877,KSFF,medium_airport,Felts Field,47.682800292969,-117.32299804688,KSFF,SFF,SFF
3878,KSFO,large_airport,San Francisco International Airport,37.61899948120117,-122.375,KSFO,SFO,SFO
3879,KSGF,medium_airport,Springfield Branson National Airport,37.245701,-93.388603,KSGF,SGF,SGF
3880,KSGH,medium_airport,Springfield-Beckley Municipal Airport,39.840301513672,-83.840202331543,KSGH,SGH,SGH
3881,KSHR,medium_airport,Sheridan County Airport,44.76919937133789,-106.9800033569336,KSHR,SHR,SHR
3882,KSHV,medium_airport,Shreveport Regional Airport,32.446602,-93.8256,KSHV,SHV,SHV
3883,KSJC,large_airport,Norman Y. Mineta San Jose International Airport,37.362598,-121.929001,KSJC,SJC,SJC
3884,KSJT,medium_airport,San Angelo Regional Mathis Field,31.35770034790039,-100.49600219726562,KSJT,SJT,SJT
3885,KSKA,medium_airport,Fairchild Air Force Base,47.615101,-117.655998,KSKA,SKA,SKA
