Id,Ident,Type,Name,Latitude_deg,Longitude_deg,Elevation_ft,Continent,Country_name,Iso_country,Region_name,Iso_region,Local_region,Municipality,Scheduled_service,Gps_code,Iata_code,Local_code,Home_link,Wikipedia_link,Keywords,Score,Last_updated,TranslateName
3247,HJJJ,large_airport,"Juba International Airport",4.87201,31.601101,1513,AF,"South Sudan",SS,"Central Equatoria State",SS-17,17,Juba,1,HJJJ,JUB,,,https://en.wikipedia.org/wiki/Juba_Airport,"JIA, HSSJ",1000,2022-01-04T00:23:41+00:00,朱巴
27202,ZJSY,large_airport,"Sanya Phoenix International Airport",18.3029,109.412003,92,AS,China,CN,"Hainan Province",CN-46,46,"Sanya (Tianya)",1,ZJSY,SYX,,,https://en.wikipedia.org/wiki/Sanya_Phoenix_International_Airport,,1000,2020-12-16T14:40:40+00:00,三亚凤凰机场
26412,UWWW,large_airport,"Kurumoch International Airport",53.504901885986,50.16429901123,477,EU,Russia,RU,"Samara Oblast",RU-SAM,SAM,Samara,1,UWWW,KUF,,http://airport.samara.ru/en/,https://en.wikipedia.org/wiki/Kurumoch_International_Airport,,1150,2015-07-26T09:10:48+00:00,萨马拉
27193,ZBYN,large_airport,"Taiyuan Wusu Airport",37.746899,112.627998,2575,AS,China,CN,"Shanxi Province",CN-14,14,Taiyuan,1,ZBYN,TYN,,,https://en.wikipedia.org/wiki/Taiyuan_Wusu_Airport,,1050,2021-12-20T17:20:56+00:00,太原武宿机场
3,AGGH,large_airport,"Honiara International Airport",-9.428,160.054993,28,OC,"Solomon Islands",SB,"Guadalcanal Province",SB-GU,GU,Honiara,1,AGGH,HIR,,,https://en.wikipedia.org/wiki/Honiara_International_Airport,"Henderson Field",1000,2021-11-18T16:58:52+00:00,霍尼亚拉
27204,ZLLL,large_airport,"Lanzhou Zhongchuan International Airport",36.515202,103.620003,6388,AS,China,CN,"Gansu Province",CN-62,62,Lanzhou,1,ZLLL,LHW,,http://lzzcairport.com/Home/Index,https://en.wikipedia.org/wiki/Lanzhou_Airport,"ZGC, Datong Air Base, 兰州中川国际机场",1000,2022-01-12T23:07:39+00:00,兰州机场
6198,SOCA,large_airport,"Cayenne – Félix Eboué Airport",4.819964,-52.361326,26,SA,"French Guiana",GF,Cayenne,GF-CY,CY,Matoury,1,SOCA,CAY,,,https://en.wikipedia.org/wiki/Cayenne_%E2%80%93_F%C3%A9lix_Ebou%C3%A9_Airport,"Cayenne-Rochambeau, Matoury",1000,2021-10-11T16:55:31+00:00,
5697,RPMD,large_airport,"Francisco Bangoy International Airport",7.12552,125.646004,96,AS,Philippines,PH,"Davao del Sur Province",PH-DAS,DAS,Davao,1,RPMD,DVO,,,https://en.wikipedia.org/wiki/Francisco_Bangoy_International_Airport,"Davao International Airport",1275,2020-12-31T12:15:53+00:00,达沃
6255,SVBC,large_airport,"General José Antonio Anzoategui International Airport",10.111111,-64.692222,30,SA,Venezuela,VE,"Anzoátegui State",VE-B,B,Barcelona,1,SVBC,BLA,,http://aigdjaa.baer.gob.ve,https://en.wikipedia.org/wiki/General_Jos%C3%A9_Antonio_Anzo%C3%A1tegui_International_Airport,"Barcelona, Puero La Cruz,Lecheria",1050,2018-09-13T12:41:58+00:00,
6506,UNKL,large_airport,"Krasnoyarsk International Airport",56.173077,92.492437,942,EU,Russia,RU,"Krasnoyarsk Krai",RU-KYA,KYA,Krasnoyarsk,1,UNKL,KJA,,http://www.kja.aero,https://en.wikipedia.org/wiki/Krasnoyarsk_International_Airport,Yemelyanovo,1000,2021-03-12T13:24:13+00:00,克拉斯诺亚尔斯克机场
5615,RJSS,large_airport,"Sendai Airport",38.139702,140.917007,15,AS,Japan,JP,"Miyagi Prefecture",JP-04,04,Natori,1,RJSS,SDJ,,,https://en.wikipedia.org/wiki/Sendai_Airport,,1000,2020-12-10T11:07:52+00:00,仙台机场
5017,NWWM,large_airport,"Nouméa Magenta Airport",-22.258301,166.473007,10,OC,"New Caledonia",NC,(unassigned),NC-U-A,U-A,Nouméa,1,NWWM,GEA,,,https://en.wikipedia.org/wiki/Noum%C3%A9a_Magenta_Airport,"l'Aéroport de Nouméa Magenta",1000,2021-03-26T16:08:08+00:00,
26411,UWUU,large_airport,"Ufa International Airport",54.557498931885,55.874401092529,449,EU,Russia,RU,"Republic of Bashkortostan",RU-BA,BA,Ufa,1,UWUU,UFA,,http://www.airportufa.ru/en/,https://en.wikipedia.org/wiki/Ufa_International_Airport,"Международный аэропорт Уфа",1150,2015-09-20T18:47:13+00:00,乌法
5089,OEDR,large_airport,"King Abdulaziz Air Base",26.2654,50.152,84,AS,"Saudi Arabia",SA,"Ash Sharqiyah Region",SA-04,04,Dhahran,0,OEDR,DHA,,,https://en.wikipedia.org/wiki/King_Abdulaziz_Air_Base,"Dhahran international Airport, Dhahran Air Base, Dhahran Airport, Dhahran Airfield",1075,2021-01-26T14:50:58+00:00,达兰
27201,ZJHK,large_airport,"Haikou Meilan International Airport",19.9349,110.459,75,AS,China,CN,"Hainan Province",CN-46,46,"Haikou (Meilan)",1,ZJHK,HAK,,,https://en.wikipedia.org/wiki/Haikou_Meilan_International_Airport,ZGHK,1050,2020-12-16T14:36:57+00:00,海口美兰机场
330820,ZBAD,large_airport,"Beijing Daxing International Airport",39.509945,116.41092,98,AS,China,CN,"Beijing Municipality",CN-11,11,Beijing,1,ZBAD,PKX,,,https://en.wikipedia.org/wiki/Beijing_Daxing_International_Airport,,1000,2021-09-30T17:42:52+00:00,
325736,GOBD,large_airport,"Blaise Diagne International Airport",14.67,-17.073333,290,AF,Senegal,SN,"Dakar Region",SN-DK,DK,Dakar,1,GOBD,DSS,,http://www.dakaraeroport.com/,https://en.wikipedia.org/wiki/Blaise_Diagne_International_Airport,"dakar,new dakar airport, dakar airport, diass airport",1000,2019-01-13T13:49:28+00:00,
32672,ZSWZ,large_airport,"Wenzhou Longwan International Airport",27.912201,120.851997,,AS,China,CN,"Zhejiang Province",CN-33,33,Wenzhou,1,ZSWZ,WNZ,,,https://en.wikipedia.org/wiki/Wenzhou_Longwan_International_Airport,"温州永强机场, Wenzhou Yongqiang Airport",1000,2018-05-03T13:15:09+00:00,温州永强机场
27195,ZGHA,large_airport,"Changsha Huanghua International Airport",28.189199447599997,113.220001221,217,AS,China,CN,"Hunan Province",CN-43,43,Changsha,1,ZGHA,CSX,,,https://en.wikipedia.org/wiki/Changsha_Huanghua_International_Airport,长沙黄花国际机场,1050,2013-05-17T01:38:00+00:00,长沙黄花机场
27229,ZUGY,large_airport,"Longdongbao Airport",26.53849983215332,106.8010025024414,3736,AS,China,CN,"Guizhou Province",CN-52,52,Guiyang,1,ZUGY,KWE,,,https://en.wikipedia.org/wiki/Guiyang_Longdongbao_Airport,"Kaiyang Guiyang Air Base, Guiyang Air Base",1000,2009-04-16T22:23:52+00:00,贵阳龙洞堡机场
27189,ZBHH,large_airport,"Baita International Airport",40.851398,111.823997,3556,AS,China,CN,"Inner Mongolia Autonomous Region",CN-15,15,Hohhot,1,ZBHH,HET,,http://www.hhhtbtjc.com/,https://en.wikipedia.org/wiki/Hohhot_Baita_International_Airport,,1000,2017-02-22T10:24:16+00:00,呼和浩特白塔国际机场
65,AYMO,large_airport,"Momote Airport",-2.06189,147.423996,12,OC,"Papua New Guinea",PG,"Manus Province",PG-MRL,MRL,"Manus Island",1,AYMO,MAS,,,https://en.wikipedia.org/wiki/Momote_Airport,,1000,2022-02-03T18:19:32+00:00,
